'Elapsed time','II','III','AVL','V','MCL1','ABP','PAP'
'181:57:45.840',0.129,-,-,-,0.353,-,-
'181:57:45.848',0.155,-,-,-,0.555,-,-
'181:57:45.856',0.129,-,-,-,0.277,-,-
'181:57:45.864',0.129,-,-,-,0.076,-,-
'181:57:45.872',0.103,-,-,-,0.193,-,-
'181:57:45.880',0.181,-,-,-,0.328,-,-
'181:57:45.888',0.310,-,-,-,0.353,-,-
'181:57:45.896',0.388,-,-,-,0.303,-,-
'181:57:45.904',0.284,-,-,-,0.353,-,-
'181:57:45.912',0.129,-,-,-,0.050,-,-
'181:57:45.920',0.000,-,-,-,0.134,-,-
'181:57:45.928',-0.026,-,-,-,0.328,-,-
'181:57:45.936',0.078,-,-,-,0.050,-,-
'181:57:45.944',0.026,-,-,-,0.000,-,-
'181:57:45.952',-0.052,-,-,-,0.050,-,-
'181:57:45.960',-0.078,-,-,-,-0.050,-,-
'181:57:45.968',-0.129,-,-,-,-0.160,-,-
'181:57:45.976',-0.103,-,-,-,0.050,-,-
'181:57:45.984',-0.026,-,-,-,0.000,-,-
'181:57:45.992',0.052,-,-,-,-0.134,-,-
'181:57:46.000',0.026,-,-,-,-0.134,-,-
'181:57:46.008',-0.078,-,-,-,0.000,-,-
'181:57:46.016',-0.155,-,-,-,0.000,-,-
'181:57:46.024',-0.181,-,-,-,0.050,-,-
'181:57:46.032',-0.181,-,-,-,0.050,-,-
'181:57:46.040',-0.103,-,-,-,0.000,-,-
'181:57:46.048',0.026,-,-,-,0.109,-,-
'181:57:46.056',0.026,-,-,-,-0.050,-,-
'181:57:46.064',-0.052,-,-,-,-0.050,-,-
'181:57:46.072',-0.052,-,-,-,0.000,-,-
'181:57:46.080',-0.026,-,-,-,-0.076,-,-
'181:57:46.088',-0.026,-,-,-,-0.076,-,-
'181:57:46.096',0.052,-,-,-,0.000,-,-
'181:57:46.104',0.078,-,-,-,0.076,-,-
'181:57:46.112',0.078,-,-,-,0.109,-,-
'181:57:46.120',0.000,-,-,-,-0.050,-,-
'181:57:46.128',-0.103,-,-,-,-0.109,-,-
'181:57:46.136',-0.129,-,-,-,-0.134,-,-
'181:57:46.144',-0.078,-,-,-,0.000,-,-
'181:57:46.152',0.000,-,-,-,-0.218,-,-
'181:57:46.160',-0.052,-,-,-,-0.050,-,-
'181:57:46.168',-0.155,-,-,-,0.160,-,-
'181:57:46.176',-0.181,-,-,-,0.160,-,-
'181:57:46.184',-0.129,-,-,-,-0.244,-,-
'181:57:46.192',0.026,-,-,-,-0.050,-,-
'181:57:46.200',0.362,-,-,-,0.025,-,-
'181:57:46.208',0.784,-,-,-,-0.025,-,-
'181:57:46.216',0.862,-,-,-,-0.521,-,-
'181:57:46.224',0.129,-,-,-,-0.916,-,-
'181:57:46.232',-0.336,-,-,-,-0.941,-,-
'181:57:46.240',-0.362,-,-,-,-0.555,-,-
'181:57:46.248',-0.207,-,-,-,-0.277,-,-
'181:57:46.256',-0.233,-,-,-,0.050,-,-
'181:57:46.264',-0.233,-,-,-,0.134,-,-
'181:57:46.272',-0.181,-,-,-,-0.076,-,-
'181:57:46.280',-0.155,-,-,-,0.000,-,-
'181:57:46.288',-0.181,-,-,-,-0.050,-,-
'181:57:46.296',-0.103,-,-,-,-0.134,-,-
'181:57:46.304',-0.026,-,-,-,-0.109,-,-
'181:57:46.312',0.000,-,-,-,-0.134,-,-
'181:57:46.320',-0.078,-,-,-,0.025,-,-
'181:57:46.328',-0.103,-,-,-,0.050,-,-
'181:57:46.336',-0.026,-,-,-,-0.134,-,-
'181:57:46.344',-0.052,-,-,-,0.025,-,-
'181:57:46.352',-0.129,-,-,-,0.050,-,-
'181:57:46.360',-0.155,-,-,-,-0.109,-,-
'181:57:46.368',-0.078,-,-,-,-0.134,-,-
'181:57:46.376',0.052,-,-,-,0.076,-,-
'181:57:46.384',0.103,-,-,-,0.109,-,-
'181:57:46.392',0.103,-,-,-,0.109,-,-
'181:57:46.400',0.181,-,-,-,0.000,-,-
'181:57:46.408',0.207,-,-,-,0.000,-,-
'181:57:46.416',0.181,-,-,-,0.109,-,-
'181:57:46.424',0.207,-,-,-,0.050,-,-
'181:57:46.432',0.233,-,-,-,0.000,-,-
'181:57:46.440',0.207,-,-,-,0.050,-,-
'181:57:46.448',0.207,-,-,-,0.160,-,-
'181:57:46.456',0.181,-,-,-,0.076,-,-
'181:57:46.464',0.078,-,-,-,-0.050,-,-
'181:57:46.472',0.000,-,-,-,-0.050,-,-
'181:57:46.480',-0.026,-,-,-,-0.076,-,-
'181:57:46.488',0.026,-,-,-,-0.050,-,-
'181:57:46.496',0.052,-,-,-,-0.076,-,-
'181:57:46.504',0.000,-,-,-,-0.050,-,-
'181:57:46.512',-0.026,-,-,-,-0.134,-,-
'181:57:46.520',0.000,-,-,-,-0.050,-,-
'181:57:46.528',-0.052,-,-,-,-0.050,-,-
'181:57:46.536',-0.155,-,-,-,-0.193,-,-
'181:57:46.544',-0.129,-,-,-,-0.218,-,-
'181:57:46.552',0.026,-,-,-,-0.244,-,-
'181:57:46.560',0.078,-,-,-,-0.134,-,-
'181:57:46.568',-0.103,-,-,-,0.000,-,-
'181:57:46.576',-0.233,-,-,-,0.025,-,-
'181:57:46.584',-0.233,-,-,-,0.050,-,-
'181:57:46.592',-0.103,-,-,-,-0.160,-,-
'181:57:46.600',0.000,-,-,-,-0.244,-,-
'181:57:46.608',0.026,-,-,-,-0.193,-,-
'181:57:46.616',0.026,-,-,-,-0.244,-,-
'181:57:46.624',0.052,-,-,-,-0.076,-,-
'181:57:46.632',0.000,-,-,-,0.050,-,-
'181:57:46.640',-0.078,-,-,-,0.025,-,-
'181:57:46.648',-0.078,-,-,-,0.050,-,-
'181:57:46.656',0.000,-,-,-,-0.160,-,-
'181:57:46.664',0.026,-,-,-,-0.050,-,-
'181:57:46.672',0.000,-,-,-,0.109,-,-
'181:57:46.680',0.000,-,-,-,0.134,-,-
'181:57:46.688',0.026,-,-,-,-0.303,-,-
'181:57:46.696',-0.026,-,-,-,-0.328,-,-
'181:57:46.704',-0.078,-,-,-,-0.134,-,-
'181:57:46.712',-0.129,-,-,-,-0.244,-,-
'181:57:46.720',-0.181,-,-,-,-0.160,-,-
'181:57:46.728',-0.181,-,-,-,-0.160,-,-
'181:57:46.736',-0.103,-,-,-,-0.193,-,-
'181:57:46.744',0.078,-,-,-,-0.050,-,-
'181:57:46.752',0.500,-,-,-,-0.025,-,-
'181:57:46.760',0.810,-,-,-,-0.244,-,-
'181:57:46.768',0.552,-,-,-,-0.605,-,-
'181:57:46.776',0.000,-,-,-,-0.832,-,-
'181:57:46.784',-0.233,-,-,-,-0.689,-,-
'181:57:46.792',-0.259,-,-,-,-0.303,-,-
'181:57:46.800',-0.310,-,-,-,-0.193,-,-
'181:57:46.808',-0.233,-,-,-,-0.244,-,-
'181:57:46.816',-0.181,-,-,-,-0.303,-,-
'181:57:46.824',-0.155,-,-,-,-0.193,-,-
'181:57:46.832',-0.181,-,-,-,-0.076,-,-
'181:57:46.840',-0.129,-,-,-,0.050,-,-
'181:57:46.848',-0.103,-,-,-,0.109,-,-
'181:57:46.856',-0.155,-,-,-,-0.076,-,-
'181:57:46.864',-0.052,-,-,-,-0.050,-,-
'181:57:46.872',0.052,-,-,-,-0.134,-,-
'181:57:46.880',0.155,-,-,-,-0.218,-,-
'181:57:46.888',0.207,-,-,-,-0.134,-,-
'181:57:46.896',0.052,-,-,-,-0.109,-,-
'181:57:46.904',-0.181,-,-,-,-0.050,-,-
'181:57:46.912',-0.259,-,-,-,-0.076,-,-
'181:57:46.920',-0.181,-,-,-,-0.134,-,-
'181:57:46.928',-0.026,-,-,-,0.025,-,-
'181:57:46.936',0.155,-,-,-,0.050,-,-
'181:57:46.944',0.284,-,-,-,0.000,-,-
'181:57:46.952',0.233,-,-,-,-0.050,-,-
'181:57:46.960',0.155,-,-,-,-0.050,-,-
'181:57:46.968',0.155,-,-,-,-0.076,-,-
'181:57:46.976',0.181,-,-,-,0.109,-,-
'181:57:46.984',0.207,-,-,-,0.134,-,-
'181:57:46.992',0.207,-,-,-,0.025,-,-
'181:57:47.000',0.129,-,-,-,0.025,-,-
'181:57:47.008',0.078,-,-,-,0.050,-,-
'181:57:47.016',0.103,-,-,-,-0.050,-,-
'181:57:47.024',0.129,-,-,-,-0.134,-,-
'181:57:47.032',0.103,-,-,-,-0.193,-,-
'181:57:47.040',0.052,-,-,-,-0.134,-,-
'181:57:47.048',-0.026,-,-,-,-0.076,-,-
'181:57:47.056',-0.078,-,-,-,-0.134,-,-
'181:57:47.064',-0.129,-,-,-,-0.193,-,-
'181:57:47.072',-0.155,-,-,-,-0.160,-,-
'181:57:47.080',-0.129,-,-,-,-0.134,-,-
'181:57:47.088',-0.026,-,-,-,-0.025,-,-
'181:57:47.096',0.052,-,-,-,0.000,-,-
'181:57:47.104',0.078,-,-,-,-0.193,-,-
'181:57:47.112',0.129,-,-,-,-0.160,-,-
'181:57:47.120',0.078,-,-,-,-0.193,-,-
'181:57:47.128',-0.052,-,-,-,-0.076,-,-
'181:57:47.136',-0.155,-,-,-,0.076,-,-
'181:57:47.144',-0.181,-,-,-,0.109,-,-
'181:57:47.152',-0.078,-,-,-,-0.244,-,-
'181:57:47.160',0.000,-,-,-,-0.303,-,-
'181:57:47.168',0.052,-,-,-,-0.134,-,-
'181:57:47.176',0.103,-,-,-,-0.076,-,-
'181:57:47.184',0.078,-,-,-,-0.134,-,-
'181:57:47.192',0.078,-,-,-,-0.109,-,-
'181:57:47.200',0.052,-,-,-,-0.050,-,-
'181:57:47.208',0.026,-,-,-,0.050,-,-
'181:57:47.216',-0.026,-,-,-,0.076,-,-
'181:57:47.224',-0.052,-,-,-,-0.109,-,-
'181:57:47.232',0.000,-,-,-,-0.244,-,-
'181:57:47.240',0.026,-,-,-,-0.303,-,-
'181:57:47.248',-0.052,-,-,-,-0.076,-,-
'181:57:47.256',-0.078,-,-,-,-0.134,-,-
'181:57:47.264',-0.052,-,-,-,-0.193,-,-
'181:57:47.272',-0.052,-,-,-,-0.160,-,-
'181:57:47.280',-0.129,-,-,-,-0.109,-,-
'181:57:47.288',-0.207,-,-,-,0.025,-,-
'181:57:47.296',0.129,-,-,-,0.050,-,-
'181:57:47.304',0.759,-,-,-,-0.193,-,-
'181:57:47.312',0.940,-,-,-,-0.664,-,-
'181:57:47.320',0.259,-,-,-,-0.941,-,-
'181:57:47.328',-0.233,-,-,-,-0.798,-,-
'181:57:47.336',-0.284,-,-,-,-0.496,-,-
'181:57:47.344',-0.284,-,-,-,-0.160,-,-
'181:57:47.352',-0.207,-,-,-,0.025,-,-
'181:57:47.360',-0.181,-,-,-,0.050,-,-
'181:57:47.368',-0.181,-,-,-,-0.160,-,-
'181:57:47.376',-0.129,-,-,-,-0.160,-,-
'181:57:47.384',-0.129,-,-,-,-0.109,-,-
'181:57:47.392',-0.103,-,-,-,-0.076,-,-
'181:57:47.400',-0.103,-,-,-,-0.134,-,-
'181:57:47.408',-0.103,-,-,-,-0.134,-,-
'181:57:47.416',-0.129,-,-,-,-0.134,-,-
'181:57:47.424',-0.078,-,-,-,-0.050,-,-
'181:57:47.432',-0.026,-,-,-,0.000,-,-
'181:57:47.440',0.000,-,-,-,0.000,-,-
'181:57:47.448',-0.052,-,-,-,0.050,-,-
'181:57:47.456',-0.129,-,-,-,0.050,-,-
'181:57:47.464',-0.026,-,-,-,0.076,-,-
'181:57:47.472',0.129,-,-,-,-0.193,-,-
'181:57:47.480',0.181,-,-,-,-0.193,-,-
'181:57:47.488',0.155,-,-,-,-0.025,-,-
'181:57:47.496',0.181,-,-,-,0.076,-,-
'181:57:47.504',0.207,-,-,-,0.109,-,-
'181:57:47.512',0.052,-,-,-,-0.025,-,-
'181:57:47.520',0.026,-,-,-,0.000,-,-
'181:57:47.528',0.181,-,-,-,0.050,-,-
'181:57:47.536',0.310,-,-,-,0.076,-,-
'181:57:47.544',0.336,-,-,-,0.160,-,-
'181:57:47.552',0.284,-,-,-,0.328,-,-
'181:57:47.560',0.233,-,-,-,0.160,-,-
'181:57:47.568',0.155,-,-,-,-0.134,-,-
'181:57:47.576',-0.026,-,-,-,-0.244,-,-
'181:57:47.584',-0.129,-,-,-,-0.244,-,-
'181:57:47.592',-0.103,-,-,-,-0.134,-,-
'181:57:47.600',0.000,-,-,-,-0.160,-,-
'181:57:47.608',0.155,-,-,-,-0.244,-,-
'181:57:47.616',0.233,-,-,-,-0.244,-,-
'181:57:47.624',0.103,-,-,-,-0.218,-,-
'181:57:47.632',-0.103,-,-,-,-0.134,-,-
'181:57:47.640',-0.207,-,-,-,0.000,-,-
'181:57:47.648',-0.207,-,-,-,0.050,-,-
'181:57:47.656',-0.207,-,-,-,-0.109,-,-
'181:57:47.664',-0.155,-,-,-,-0.193,-,-
'181:57:47.672',-0.052,-,-,-,-0.050,-,-
'181:57:47.680',0.000,-,-,-,-0.025,-,-
'181:57:47.688',0.026,-,-,-,-0.050,-,-
'181:57:47.696',0.052,-,-,-,-0.050,-,-
'181:57:47.704',0.052,-,-,-,-0.076,-,-
'181:57:47.712',0.078,-,-,-,-0.218,-,-
'181:57:47.720',0.103,-,-,-,-0.244,-,-
'181:57:47.728',0.155,-,-,-,0.000,-,-
'181:57:47.736',0.078,-,-,-,0.000,-,-
'181:57:47.744',-0.052,-,-,-,0.000,-,-
'181:57:47.752',-0.078,-,-,-,0.025,-,-
'181:57:47.760',-0.052,-,-,-,-0.109,-,-
'181:57:47.768',0.000,-,-,-,-0.050,-,-
'181:57:47.776',0.026,-,-,-,-0.109,-,-
'181:57:47.784',-0.026,-,-,-,-0.134,-,-
'181:57:47.792',-0.078,-,-,-,-0.193,-,-
'181:57:47.800',-0.052,-,-,-,-0.244,-,-
'181:57:47.808',0.026,-,-,-,-0.244,-,-
'181:57:47.816',0.026,-,-,-,-0.193,-,-
'181:57:47.824',-0.052,-,-,-,-0.134,-,-
'181:57:47.832',-0.078,-,-,-,-0.109,-,-
'181:57:47.840',0.000,-,-,-,-0.134,-,-
