'Elapsed time','II','III','V','MCL1','ABP'
'35:44:57.416',-0.458,-,-,-,83.880
'35:44:57.424',-0.458,-,-,-,83.160
'35:44:57.432',-0.458,-,-,-,82.320
'35:44:57.440',-0.458,-,-,-,82.320
'35:44:57.448',-0.521,-,-,-,81.480
'35:44:57.456',-0.521,-,-,-,80.760
'35:44:57.464',-0.521,-,-,-,80.760
'35:44:57.472',-0.562,-,-,-,80.760
'35:44:57.480',-0.625,-,-,-,79.920
'35:44:57.488',-0.625,-,-,-,79.920
'35:44:57.496',-0.562,-,-,-,79.920
'35:44:57.504',-0.625,-,-,-,79.920
'35:44:57.512',-0.625,-,-,-,79.080
'35:44:57.520',-0.562,-,-,-,79.080
'35:44:57.528',-0.562,-,-,-,79.080
'35:44:57.536',-0.562,-,-,-,79.080
'35:44:57.544',-0.625,-,-,-,79.080
'35:44:57.552',-0.562,-,-,-,79.080
'35:44:57.560',-0.521,-,-,-,79.080
'35:44:57.568',-0.312,-,-,-,78.360
'35:44:57.576',0.000,-,-,-,78.360
'35:44:57.584',0.562,-,-,-,78.360
'35:44:57.592',0.979,-,-,-,78.360
'35:44:57.600',1.104,-,-,-,78.360
'35:44:57.608',0.354,-,-,-,77.520
'35:44:57.616',-0.354,-,-,-,77.520
'35:44:57.624',-0.729,-,-,-,77.520
'35:44:57.632',-0.771,-,-,-,76.680
'35:44:57.640',-0.833,-,-,-,76.680
'35:44:57.648',-0.771,-,-,-,75.960
'35:44:57.656',-0.771,-,-,-,75.120
'35:44:57.664',-0.833,-,-,-,74.280
'35:44:57.672',-0.833,-,-,-,74.280
'35:44:57.680',-0.833,-,-,-,73.560
'35:44:57.688',-0.833,-,-,-,72.720
'35:44:57.696',-0.833,-,-,-,72.720
'35:44:57.704',-0.833,-,-,-,71.880
'35:44:57.712',-0.833,-,-,-,72.720
'35:44:57.720',-0.833,-,-,-,75.120
'35:44:57.728',-0.833,-,-,-,79.920
'35:44:57.736',-0.833,-,-,-,90.360
'35:44:57.744',-0.833,-,-,-,105.480
'35:44:57.752',-0.833,-,-,-,124.680
'35:44:57.760',-0.833,-,-,-,144.720
'35:44:57.768',-0.833,-,-,-,163.080
'35:44:57.776',-0.875,-,-,-,177.480
'35:44:57.784',-0.833,-,-,-,179.880
'35:44:57.792',-0.875,-,-,-,179.880
'35:44:57.800',-0.938,-,-,-,179.880
'35:44:57.808',-0.938,-,-,-,179.880
'35:44:57.816',-0.938,-,-,-,179.880
'35:44:57.824',-0.979,-,-,-,176.760
'35:44:57.832',-1.042,-,-,-,168.720
'35:44:57.840',-1.104,-,-,-,161.520
'35:44:57.848',-1.104,-,-,-,153.480
'35:44:57.856',-1.146,-,-,-,145.560
'35:44:57.864',-1.146,-,-,-,137.520
'35:44:57.872',-1.146,-,-,-,131.160
'35:44:57.880',-1.146,-,-,-,124.680
'35:44:57.888',-1.104,-,-,-,119.160
'35:44:57.896',-0.979,-,-,-,114.360
'35:44:57.904',-0.938,-,-,-,110.280
'35:44:57.912',-0.833,-,-,-,107.880
'35:44:57.920',-0.729,-,-,-,105.480
'35:44:57.928',-0.625,-,-,-,103.920
'35:44:57.936',-0.562,-,-,-,103.080
'35:44:57.944',-0.521,-,-,-,102.360
'35:44:57.952',-0.458,-,-,-,102.360
'35:44:57.960',-0.458,-,-,-,103.080
'35:44:57.968',-0.458,-,-,-,103.920
'35:44:57.976',-0.458,-,-,-,104.760
'35:44:57.984',-0.458,-,-,-,106.320
'35:44:57.992',-0.458,-,-,-,107.880
'35:44:58.000',-0.458,-,-,-,109.560
'35:44:58.008',-0.458,-,-,-,111.120
